LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,13-Dec-2024 11:59:45,0                 
Time,Ampl
-0.02660246,0.850025
-0.02659746,0.856424
-0.02659246,0.856424
-0.02658746,0.856424
-0.02658246,0.856424
-0.02657746,0.856424
-0.02657246,0.850025
-0.02656746,0.856424
-0.02656246,0.856424
-0.02655746,0.856424
-0.02655246,0.856424
-0.02654746,0.850025
-0.02654246,0.856424
-0.02653746,0.862824
-0.02653246,0.850025
-0.02652746,0.856424
-0.02652246,0.850025
-0.02651746,0.850025
-0.02651246,0.856424
-0.02650746,0.856424
-0.02650246,0.850025
-0.02649746,0.856424
-0.02649246,0.856424
-0.02648746,0.856424
-0.02648246,0.856424
-0.02647746,0.850025
-0.02647246,0.856424
-0.02646746,0.856424
-0.02646246,0.856424
-0.02645746,0.850025
-0.02645246,0.850025
-0.02644746,0.856424
-0.02644246,0.862824
-0.02643746,0.850025
-0.02643246,0.856424
-0.02642746,0.862824
-0.02642246,0.869224
-0.02641746,0.856424
-0.02641246,0.862824
-0.02640746,0.850025
-0.02640246,0.850025
-0.02639746,0.856424
-0.02639246,0.862824
-0.02638746,0.850025
-0.02638246,0.856424
-0.02637746,0.850025
-0.02637246,0.856424
-0.02636746,0.856424
-0.02636246,0.850025
-0.02635746,0.850025
-0.02635246,0.850025
-0.02634746,0.856424
-0.02634246,0.843625
-0.02633746,0.850025
-0.02633246,0.850025
-0.02632746,0.843625
-0.02632246,0.856424
-0.02631746,0.850025
-0.02631246,0.850025
-0.02630746,0.850025
-0.02630246,0.856424
-0.02629746,0.856424
-0.02629246,0.850025
-0.02628746,0.850025
-0.02628246,0.850025
-0.02627746,0.850025
-0.02627246,0.850025
-0.02626746,0.856424
-0.02626246,0.856424
-0.02625746,0.869224
-0.02625246,0.850025
-0.02624746,0.856424
-0.02624246,0.869224
-0.02623746,0.856424
-0.02623246,0.850025
-0.02622746,0.843625
-0.02622246,0.856424
-0.02621746,0.862824
-0.02621246,0.856424
-0.02620746,0.850025
-0.02620246,0.856424
-0.02619746,0.843625
-0.02619246,0.856424
-0.02618746,0.850025
-0.02618246,0.856424
-0.02617746,0.843625
-0.02617246,0.850025
-0.02616746,0.850025
-0.02616246,0.862824
-0.02615746,0.850025
-0.02615246,0.856424
-0.02614746,0.850025
-0.02614246,0.850025
-0.02613746,0.837225
-0.02613246,0.850025
-0.02612746,0.850025
-0.02612246,0.850025
-0.02611746,0.850025
-0.02611246,0.843625
-0.02610746,0.850025
-0.02610246,0.862824
-0.02609746,0.843625
-0.02609246,0.856424
-0.02608746,0.850025
-0.02608246,0.856424
-0.02607746,0.850025
-0.02607246,0.843625
-0.02606746,0.850025
-0.02606246,0.856424
-0.02605746,0.850025
-0.02605246,0.850025
-0.02604746,0.850025
-0.02604246,0.850025
-0.02603746,0.850025
-0.02603246,0.850025
-0.02602746,0.850025
-0.02602246,0.856424
-0.02601746,0.850025
-0.02601246,0.843625
-0.02600746,0.856424
-0.02600246,0.850025
-0.02599746,0.843625
-0.02599246,0.850025
-0.02598746,0.856424
-0.02598246,0.850025
-0.02597746,0.850025
-0.02597246,0.850025
-0.02596746,0.856424
-0.02596246,0.843625
-0.02595746,0.843625
-0.02595246,0.843625
-0.02594746,0.850025
-0.02594246,0.837225
-0.02593746,0.843625
-0.02593246,0.850025
-0.02592746,0.850025
-0.02592246,0.850025
-0.02591746,0.843625
-0.02591246,0.843625
-0.02590746,0.843625
